st2,stplc2,popden90,pov12590,Time1,Time2,Time3,Time4,cpden90,cpv12590,State,Poverty
36,3600199,0.481990665,16.04154587,4.008846283,4.008846283,5.785616875,4.692874908,-0.407757335,1.886340368,0,0
36,3601000,1.823104024,23.05100632,6.549933434,6.683951855,6.767957211,7.026285648,0.933356024,8.895800817,0,0
36,3601033,0.772973001,18.52046204,5.484404564,5.834252357,5.816748619,5.813873768,-0.116774999,4.365256536,0,0
36,3601187,0.623824477,16.68070793,4.430668831,5.808740616,5.742082596,6.617253304,-0.265923523,2.525502432,0,0
36,3601198,1.491819382,19.33916473,6.119363785,6.348225594,5.800666332,4.78623724,0.602071382,5.183959234,0,0
36,3601286,1.130136967,23.13664627,4.453562737,5.341030121,6.065038681,6.377358437,0.240388967,8.981440771,0,0
36,3601517,0.55116111,6.064601421,5.27260828,4.8697052,4.184204102,4.184204102,-0.33858689,-8.090604079,0,0
36,3602000,0.809689462,7.321063995,5.600334167,5.675131798,5.800071716,5.74030304,-0.080058538,-6.834141505,0,0
36,3602044,1.715816736,6.131128311,4.925279617,5.511584282,5.444156647,5.840689182,0.826068736,-8.024077189,0,0
36,3602066,1.341493368,19.11901665,5.208498001,5.360527515,5.594559669,5.705716133,0.451745368,4.963811147,0,0
36,3602176,0.173139155,26.8343811,4.563062668,5.250980854,4.907021523,4.563062668,-0.716608845,12.6791756,0,0
36,3602198,0.604770958,14.98429775,5.728282452,6.343674183,5.786549568,5.584443092,-0.284977042,0.829092252,0,0
36,3602407,0.321588635,17.26791763,4.521249771,5.776471138,5.177038193,6.016832352,-0.568159365,3.112712133,0,0
36,3602506,1.253521085,2.035870075,4.19089222,5.179981232,5.381503105,5.079135418,0.363773085,-12.11933542,0,0
36,3602902,0.195736885,17.99761581,3.961190939,4.302981377,4.644772053,5.047028542,-0.694011115,3.842410314,0,0
36,3603001,0.602520049,13.47031975,4.743644238,5.798536301,5.230787754,5.836435318,-0.287227951,-0.684885752,0,0
36,3603078,1.438670754,20.02863693,6.125707626,6.186623573,6.417585373,6.423107624,0.548922754,5.873431432,0,0
36,3603353,0.386003345,6.328257084,4.960868359,5.488728523,5.708772659,5.591404438,-0.503744655,-7.826948416,0,0
36,3604198,0.828535497,9.460708618,5.998254776,6.297119141,6.207159996,6.248519897,-0.061212503,-4.694496882,0,0
36,3604253,1.205028057,14.16904831,5.645176888,5.942008018,6.023851395,6.385073185,0.315280057,0.013842809,0,0
36,3604715,1.217800379,12.68637657,6.106137276,6.093571663,6.265216827,6.342145443,0.328052379,-1.468828928,0,0
36,3604759,0.777718186,18.21496773,6.245306015,6.131121159,6.485898018,6.401489258,-0.112029814,4.059762228,0,0
36,3605100,1.079739094,14.62046719,5.882155418,5.922789574,5.928730965,5.742990017,0.189991094,0.465261686,0,0
36,3605320,0.175258905,4.867024899,4.605440617,4.773299217,4.722450733,5.270739079,-0.714489095,-9.288180601,0,0
36,3606354,0.217926413,5.052093029,5.793933868,6.011203766,5.844306946,5.702748775,-0.671821587,-9.103112471,0,0
36,3606607,1.97151041,24.99660301,6.208237171,6.244557381,6.403744698,6.545919418,1.08176241,10.84139751,0,0
36,3607003,0.183920011,10.53075504,4.38288784,5.171457291,5.467926502,5.50287199,-0.705827989,-3.624450457,0,0
36,3607190,0.646998465,26.89545059,4.820231915,4.961752892,4.961752892,5.364881992,-0.242749535,12.74024509,0,0
36,3607234,0.011298437,11.81968117,4.682215214,3.998284101,4.340249538,4.682215214,-0.878449563,-2.335524332,0,0
36,3607355,0.481666297,19.13253021,4.582104206,4.811982155,5.157112122,4.468283653,-0.408081703,4.977324712,0,0
36,3608103,0.460886568,3.962460995,4.221001148,5.259647846,5.016108513,5.10636282,-0.428861432,-10.19274451,0,0
36,3608246,0.860063374,6.085940361,5.461680412,5.638818741,5.864448071,6.049784184,-0.029684626,-8.069265139,0,0
36,3608466,1.564556479,22.91970825,5.148054123,5.70349884,5.75417614,6.27548027,0.674808479,8.764502752,0,0
36,3608532,2.430645227,2.557411194,5.253784657,5.219912052,5.473496437,5.976329803,1.540897227,-11.59779431,0,0
36,3610341,0.548899412,5.388916969,5.829378605,5.240037441,5.494081974,5.675717831,-0.340848588,-8.766288531,0,0
36,3611000,3.119277239,31.52366829,6.570775032,6.657795906,6.763395309,6.878250122,2.229529239,17.36846279,0,0
36,3611704,0.408967644,4.915854931,4.128258228,3.787380934,5.358309746,4.870774746,-0.480780356,-9.239350569,0,0
36,3611825,0.44974044,14.96710491,5.076118469,6.045200348,5.330280781,3.989916801,-0.44000756,0.811899412,0,0
36,3611847,0.436090231,15.44240379,5.747366905,5.271194458,4.705957413,4.763788223,-0.453657769,1.287198293,0,0
36,3611913,0.264954954,3.965298414,4.638982773,4.930758476,5.035849094,5.223940849,-0.624793046,-10.18990709,0,0
36,3612111,0.8412112,13.84067631,3.813886166,4.950728416,5.57311058,4.897681236,-0.0485368,-0.314529192,0,0
36,3612144,0.900277019,13.86024094,5.303009987,5.586702824,5.788721085,5.69057703,0.010529019,-0.294964564,0,0
36,3612188,0.543498516,15.94920349,4.119604111,5.072956562,3.784327507,5.955480099,-0.346249484,1.793997991,0,0
36,3612331,1.123063326,21.21556282,6.186172962,6.042617798,6.62314415,5.876731873,0.233315326,7.06035732,0,0
36,3612529,0.308024496,4.50130558,4.671353817,4.710447311,5.091758728,5.266198158,-0.581723504,-9.65389992,0,0
36,3612639,0.040784542,14.9327879,3.36822319,4.043994904,4.158968449,4.043994904,-0.848963458,0.777582395,0,0
36,3612683,0.666871369,21.2491188,4.538861752,4.788757324,4.865289211,6.077794552,-0.222876631,7.093913305,0,0
36,3613002,0.808899641,20.3028965,6.339026451,6.217394829,6.488767624,6.863536835,-0.080848359,6.147691,0,0
36,3613079,0.754144847,19.22619057,4.988884449,5.371853828,5.614974022,5.573638439,-0.135603153,5.070985067,0,0
36,3613145,0.738276482,8.649398804,5.705860138,5.414190769,5.136050224,5.864555359,-0.151471518,-5.505806696,0,0
36,3613585,0.334199995,12.4471302,5.058354378,4.857208252,4.314218521,3.972374201,-0.555548005,-1.708075297,0,0
36,3615011,1.29822588,7.760034084,5.895841599,5.872376442,5.935682297,6.003727913,0.40847788,-6.395171416,0,0
36,3615297,0.596933186,5.876951218,5.969274521,5.98484993,6.18184185,6.284246922,-0.292814814,-8.278254282,0,0
36,3615308,0.139929444,4.162946224,5.131027222,5.572009563,5.192551613,5.396999359,-0.749818556,-9.992259276,0,0
36,3615561,0.752862573,9.406908989,4.961240768,5.550534725,5.622405529,5.153017521,-0.136885427,-4.748296511,0,0
36,3615704,0.203723922,5.652293682,4.766366005,4.573892593,4.868266582,4.843500614,-0.686024078,-8.502911818,0,0
36,3615968,0.792261004,4.390369415,5.588275909,5.636487961,5.664776802,5.690749645,-0.097486996,-9.764836085,0,0
